ID,PlayerName,RoundsPlayed,Rating,AverageCombatScore,KillsToDeaths,KillAssistsPercentage,AverageDamagePerRound,KillPerRound,AssistsPerRound,FirstKillsPerRound,FirstDeathPerRound,HeadShotPercentage,ClutchSuccessRate,MaxKillsInAMap,Kills,Deaths,Assists,FirstKills,FirstDeaths
655,P4ND46K,317,0.90,174.8,0.84,66%,117.5,0.60,0.30,0.05,0.09,25%,20%,17,190,225,95,15,27
656,CarpeT1,329,0.90,165.9,0.81,71%,109.3,0.58,0.35,0.07,0.09,25%,9%,24,191,236,114,23,30
657,Alithe,307,0.90,200.6,0.90,69%,131.4,0.69,0.23,0.18,0.19,19%,12%,22,211,234,71,56,57
658,vandals6K,317,0.90,187.6,0.84,68%,122.2,0.63,0.32,0.09,0.11,31%,19%,22,200,238,100,28,34
659,KicksVIT,276,0.90,166.2,0.89,75%,110.6,0.62,0.36,0.03,0.05,21%,23%,24,171,192,98,9,13
660,severiNeRVNT,343,0.90,184.4,0.89,68%,122.8,0.64,0.34,0.08,0.13,23%,11%,26,221,249,116,27,45
661,iFlyTwis,521,0.90,199.0,0.98,66%,131.3,0.72,0.10,0.15,0.14,25%,11%,24,373,382,51,77,75
662,vakkNASR,231,0.90,165.1,0.87,73%,114.7,0.59,0.22,0.05,0.09,27%,7%,18,136,157,51,11,20
663,MinimiseJJH,372,0.90,182.3,0.86,71%,119.0,0.63,0.40,0.09,0.12,22%,7%,19,234,271,149,35,43
664,xenonNASR,231,0.90,165.2,0.88,73%,105.4,0.61,0.32,0.07,0.10,29%,18%,21,141,161,75,17,23
665,ImpecunityNG,210,0.90,183.7,0.91,67%,120.4,0.65,0.14,0.11,0.15,25%,12%,19,137,150,29,24,32
666,LakiaGEN,654,0.90,160.5,0.82,70%,108.7,0.56,0.33,0.06,0.09,26%,26%,19,364,445,216,40,61
667,silentzz2G,434,0.90,213.1,0.91,65%,138.8,0.74,0.12,0.21,0.18,33%,15%,25,322,353,53,90,79
668,Noir,202,0.90,179.3,0.84,64%,121.7,0.61,0.26,0.07,0.08,25%,21%,20,123,147,53,14,16
669,qrizlyGHR,400,0.90,207.5,0.91,63%,136.7,0.72,0.14,0.14,0.15,33%,15%,24,286,316,54,54,60
670,MoviPMT,239,0.90,163.5,0.85,69%,111.2,0.58,0.34,0.06,0.10,31%,15%,23,139,163,81,14,23
671,KadoomSPE,256,0.90,223.6,0.91,68%,148.7,0.76,0.18,0.16,0.21,26%,14%,24,195,215,47,40,54
672,mummAyTWT,260,0.90,175.3,0.90,66%,113.4,0.61,0.21,0.10,0.10,24%,11%,19,159,176,54,26,27
673,NoorTU.O,313,0.89,189.6,0.90,67%,127.4,0.69,0.32,0.14,0.12,34%,12%,35,216,241,99,45,38
674,RavenYFP,252,0.89,172.1,0.85,68%,116.9,0.62,0.30,0.03,0.03,32%,15%,19,156,183,75,8,8
675,ShadoWKOI,239,0.89,161.1,0.79,66%,104.7,0.55,0.28,0.04,0.09,21%,,18,132,168,67,10,22
676,sereen,313,0.89,215.5,0.84,67%,141.2,0.70,0.27,0.15,0.15,21%,13%,21,220,262,83,48,47
677,MonyetPRX,366,0.89,199.6,0.87,66%,129.9,0.68,0.30,0.12,0.17,24%,19%,24,250,289,110,45,64
678,Br0dieACE,223,0.89,178.0,0.79,71%,118.2,0.59,0.34,0.09,0.08,25%,6%,22,132,167,76,21,18
679,4GruchINCO,209,0.89,174.3,0.82,67%,115.5,0.60,0.30,0.11,0.10,22%,,19,125,152,63,23,21
680,kayleNDG,209,0.89,182.9,0.92,65%,125.2,0.65,0.22,0.03,0.08,25%,19%,18,135,147,45,7,17
681,nekoaimerYFP,213,0.89,195.1,0.87,65%,132.1,0.69,0.13,0.15,0.16,29%,17%,26,146,167,27,32,34
682,trystOGS,231,0.89,183.4,0.96,70%,116.7,0.68,0.29,0.07,0.06,28%,16%,23,156,163,66,16,13
683,EstrellaRRQ,204,0.89,157.4,0.79,75%,105.8,0.54,0.39,0.05,0.07,27%,9%,15,110,140,79,11,14
684,bldTrop,535,0.89,177.1,0.85,66%,118.6,0.61,0.22,0.10,0.10,25%,6%,21,326,384,117,56,52
685,LiedFSX,201,0.89,200.2,0.90,73%,132.8,0.70,0.26,0.11,0.08,20%,10%,23,140,155,53,22,17
686,SSeeSDFM,219,0.89,152.1,0.80,71%,100.5,0.54,0.35,0.05,0.05,34%,12%,18,119,149,76,11,12
687,skzLGCY,419,0.89,177.3,0.84,72%,112.3,0.62,0.35,0.08,0.08,26%,9%,20,259,307,147,35,32
688,Deadly10MDL,367,0.89,196.3,0.84,62%,132.7,0.66,0.25,0.12,0.15,28%,7%,26,243,291,92,44,54
689,AniemalWild,235,0.88,172.0,0.83,66%,111.3,0.59,0.20,0.08,0.09,25%,14%,17,138,167,47,19,20
690,gRIGUAjNOVO,250,0.88,159.6,0.74,72%,101.5,0.52,0.38,0.06,0.10,17%,16%,19,129,174,95,16,24
691,kasper3E,219,0.88,189.7,0.84,68%,116.9,0.66,0.35,0.08,0.13,34%,9%,18,145,172,76,17,28
692,INFESTORGK,219,0.88,187.2,0.85,63%,121.6,0.66,0.26,0.06,0.10,26%,8%,28,145,170,57,13,22
693,TmyDRGN,360,0.88,184.0,0.85,63%,125.1,0.64,0.19,0.08,0.09,22%,15%,18,229,271,67,28,32
694,SCarARF,272,0.88,155.7,0.81,72%,102.0,0.56,0.33,0.06,0.06,35%,20%,18,153,190,91,17,17
695,vibhoRRMDL,264,0.88,191.2,0.86,66%,123.0,0.66,0.26,0.10,0.11,22%,16%,22,173,202,68,27,28
696,YohanNS,239,0.88,175.2,0.78,71%,112.0,0.58,0.36,0.11,0.08,28%,11%,20,139,179,87,27,19
697,LIQUIDTU,364,0.88,171.0,0.82,67%,112.1,0.61,0.31,0.07,0.12,27%,19%,21,222,270,114,25,45
698,NinjasVIS,423,0.88,169.6,0.82,67%,112.2,0.58,0.37,0.07,0.08,32%,8%,27,247,303,158,30,35
699,TiduSAKR,240,0.88,156.6,0.84,68%,106.8,0.57,0.27,0.05,0.07,28%,19%,19,137,164,64,11,17
700,nobodyEDG,349,0.88,187.6,1.01,66%,124.1,0.68,0.24,0.07,0.16,33%,11%,28,237,235,83,11,25
701,nAvarroBM,317,0.88,154.4,0.80,68%,105.5,0.54,0.32,0.07,0.08,24%,11%,25,171,213,100,23,24
702,paTiTekTH,290,0.88,167.5,0.75,70%,114.1,0.54,0.45,0.07,0.10,20%,8%,17,157,208,131,21,28
703,KozokPRZ,209,0.88,161.4,0.83,70%,109.7,0.57,0.29,0.03,0.08,26%,7%,21,119,143,60,7,17
704,monSiBC,261,0.88,149.3,0.71,69%,100.5,0.50,0.30,0.05,0.10,27%,5%,15,130,183,79,11,24
705,LoganBurg,260,0.88,197.6,0.90,70%,130.9,0.68,0.20,0.13,0.18,23%,12%,22,177,196,52,33,46
706,iReLeXOXR,347,0.88,173.0,0.85,67%,116.8,0.61,0.22,0.07,0.07,34%,14%,19,212,250,76,23,23
707,EnzoTL,213,0.88,176.2,0.86,67%,117.9,0.59,0.31,0.08,0.10,18%,9%,20,125,146,67,16,21
708,mutoRC,253,0.87,164.4,0.81,74%,115.1,0.57,0.37,0.05,0.06,29%,4%,21,143,176,93,13,14
709,d0rfFPT,230,0.87,156.0,0.79,70%,107.4,0.54,0.27,0.05,0.07,26%,18%,16,124,156,63,12,15
710,MikelelleFH,307,0.87,168.9,0.78,67%,113.4,0.58,0.38,0.07,0.12,27%,6%,19,177,227,117,22,36
711,Adenina9z.GC,250,0.87,151.8,0.80,66%,101.9,0.56,0.33,0.02,0.08,23%,18%,23,139,173,83,6,19
712,MedusaDFM,219,0.87,189.5,0.89,73%,125.2,0.63,0.26,0.11,0.14,31%,10%,19,139,157,58,25,30
713,scarnSAD,268,0.87,217.8,0.93,67%,145.8,0.75,0.20,0.16,0.15,29%,7%,22,201,217,53,44,40
714,theozyCAOS.GC,247,0.87,204.5,0.93,68%,138.7,0.71,0.23,0.11,0.15,32%,7%,21,175,188,58,27,37
715,supamenEG,280,0.87,184.2,0.87,69%,122.5,0.64,0.29,0.11,0.11,37%,7%,23,180,208,82,31,32
716,Yoyoman,205,0.87,197.1,0.88,68%,131.3,0.70,0.31,0.11,0.12,26%,10%,22,143,163,63,23,25
717,JamppiTL,213,0.87,179.2,0.85,71%,118.5,0.62,0.29,0.07,0.09,29%,19%,22,131,154,62,14,19
718,TuraFSX,201,0.86,180.9,0.80,70%,112.4,0.62,0.35,0.06,0.08,21%,12%,23,124,155,70,13,17
719,karam1lRGES,212,0.86,202.6,0.90,66%,136.1,0.69,0.19,0.14,0.13,37%,5%,25,147,163,40,30,27
720,CHIMEIOF,248,0.86,149.4,0.77,69%,99.8,0.53,0.35,0.04,0.08,20%,23%,17,131,171,86,10,19
721,AntigonVIS,202,0.86,180.4,0.79,67%,129.5,0.59,0.23,0.08,0.10,17%,6%,20,120,152,47,16,20
722,AnthemDFM,219,0.86,152.7,0.77,71%,103.0,0.54,0.34,0.05,0.09,25%,12%,20,119,155,75,10,20
723,LimpeOF,300,0.86,204.9,0.92,67%,133.1,0.72,0.15,0.18,0.19,19%,12%,27,217,236,45,55,57
724,RetlaBLD,229,0.86,157.8,0.87,72%,106.0,0.55,0.20,0.05,0.07,25%,12%,16,125,144,46,12,16
725,RedgarGX,281,0.86,150.5,0.77,68%,97.6,0.54,0.34,0.06,0.09,37%,21%,18,151,196,95,18,26
726,miyaraFT S,247,0.85,173.3,0.78,69%,123.6,0.60,0.38,0.04,0.08,21%,18%,24,149,192,95,10,19
727,popoman4QFA,204,0.85,164.1,0.76,70%,103.0,0.56,0.42,0.03,0.06,24%,5%,17,115,151,85,6,12
728,ANXiOSSKUL,209,0.85,149.9,0.86,71%,100.9,0.57,0.22,0.10,0.10,22%,6%,24,120,139,46,21,20
729,CHICHOOEDG,349,0.85,173.5,0.94,66%,119.6,0.63,0.23,0.07,0.07,29%,,23,220,234,81,11,11
730,Rue3E.V,313,0.85,180.9,0.80,69%,117.3,0.62,0.38,0.04,0.06,21%,8%,21,195,243,120,12,19
731,fl1pzjderRRQ,204,0.85,157.7,0.76,67%,111.0,0.54,0.33,0.07,0.12,26%,22%,23,111,147,67,15,24
732,MisticTL,213,0.85,167.7,0.83,71%,113.5,0.59,0.36,0.07,0.08,30%,3%,23,125,151,77,14,17
733,PrtiDIA,290,0.85,171.3,0.78,66%,116.9,0.59,0.31,0.07,0.08,24%,14%,24,172,220,90,20,23
734,WillTWT,316,0.84,178.3,0.85,68%,122.9,0.64,0.19,0.12,0.14,20%,15%,21,202,237,59,37,45
735,NanaGMX.L,384,0.84,172.8,0.83,68%,115.7,0.63,0.24,0.08,0.08,32%,5%,27,242,292,94,29,29
736,ApothEG,280,0.84,174.5,0.84,61%,119.0,0.60,0.21,0.11,0.15,37%,17%,22,168,201,58,31,42
737,chrolloGMX,276,0.84,162.1,0.75,66%,110.9,0.56,0.28,0.08,0.09,26%,10%,20,154,205,76,21,26
738,S1MonJDG,204,0.84,192.0,0.87,65%,132.0,0.68,0.22,0.06,0.10,30%,10%,19,139,159,45,13,20
739,yayBLD,229,0.84,194.3,0.84,68%,129.1,0.65,0.14,0.18,0.23,24%,18%,20,149,178,33,41,52
740,AMNESTYEDGE,305,0.84,175.4,0.83,68%,118.9,0.60,0.29,0.09,0.10,27%,6%,30,184,223,88,28,30
741,canefisOVA,216,0.84,184.9,0.87,66%,119.5,0.65,0.23,0.07,0.07,29%,23%,19,141,162,50,15,15
742,NawafDRGN,360,0.84,165.2,0.78,64%,113.8,0.59,0.24,0.09,0.07,37%,7%,23,212,272,88,31,26
743,nuggetGMX.L,488,0.84,157.7,0.77,65%,110.0,0.54,0.22,0.07,0.09,20%,18%,21,265,344,108,36,43
744,GeneralSteak6K,317,0.84,164.5,0.76,69%,110.9,0.55,0.31,0.05,0.09,28%,8%,21,175,230,97,17,29
745,JoudaaGMX.L,226,0.84,169.3,0.81,69%,108.5,0.61,0.32,0.06,0.08,32%,13%,23,138,171,73,14,19
746,ZestBLD,229,0.84,164.2,0.80,66%,107.8,0.57,0.23,0.05,0.07,25%,11%,24,130,163,52,12,17
747,Ri0OGS,231,0.84,182.6,0.75,66%,123.9,0.60,0.25,0.06,0.07,28%,8%,17,138,183,57,14,17
748,kraySoli,201,0.84,172.2,0.81,69%,110.6,0.59,0.31,0.06,0.06,25%,15%,18,119,147,62,12,13
749,KilluaMITH,256,0.84,187.8,0.88,66%,123.9,0.66,0.19,0.11,0.12,33%,12%,26,170,194,48,27,30
750,MateliaNAKR,240,0.84,197.5,0.88,68%,135.6,0.68,0.16,0.11,0.16,26%,,31,164,187,39,27,39
751,OniByAKR,240,0.84,166.0,0.72,68%,114.2,0.52,0.32,0.08,0.11,30%,6%,19,125,174,76,20,26
752,PrecisionTG,261,0.84,167.3,0.78,64%,112.0,0.58,0.26,0.03,0.12,26%,10%,20,152,195,68,9,31
753,MooseyBBP,210,0.84,188.9,0.80,69%,127.6,0.62,0.20,0.17,0.14,20%,25%,25,130,162,43,36,29
754,cidZzZXLD,302,0.84,159.6,0.78,66%,105.2,0.55,0.28,0.04,0.08,24%,11%,17,167,213,85,12,24
755,Lendary,208,0.84,164.7,0.79,66%,109.9,0.60,0.22,0.08,0.08,40%,4%,17,125,158,46,16,17
756,AruSLT,309,0.84,145.1,0.69,72%,97.0,0.52,0.45,0.03,0.11,22%,8%,21,161,233,139,8,33
757,Jonaaa6ZMM.B,201,0.84,178.1,0.83,70%,117.1,0.62,0.26,0.05,0.11,34%,7%,29,124,150,53,11,22
758,Killu3D,240,0.84,170.8,0.89,68%,117.7,0.61,0.16,0.05,0.08,34%,8%,29,147,165,39,12,20
759,hypeRRKOPF,301,0.83,152.5,0.74,67%,102.4,0.53,0.35,0.05,0.08,25%,6%,21,161,218,106,15,24
760,EbeeeevS,219,0.83,176.5,0.81,68%,110.8,0.61,0.31,0.06,0.05,26%,18%,16,133,164,67,13,12
761,nicky,250,0.83,167.8,0.73,72%,113.3,0.56,0.34,0.06,0.07,28%,10%,24,139,191,86,16,18
762,KuroUNT,322,0.83,164.4,0.77,65%,114.4,0.56,0.32,0.07,0.09,24%,21%,20,179,231,102,22,28
763,hiroronnZETA,241,0.83,155.3,0.71,73%,99.4,0.54,0.40,0.05,0.12,33%,17%,20,129,181,96,11,28
764,DroneMAD,261,0.83,192.6,0.81,63%,124.6,0.65,0.25,0.13,0.15,34%,4%,22,170,209,66,33,38
765,zoltersONLI,272,0.83,173.6,0.85,68%,113.0,0.61,0.19,0.03,0.09,20%,14%,25,166,196,53,9,24
766,SpolenMZP,247,0.83,168.3,0.76,68%,114.4,0.56,0.28,0.05,0.09,34%,17%,17,139,182,69,12,22
767,DeryeonBLD,229,0.83,161.1,0.74,72%,107.0,0.55,0.27,0.08,0.08,29%,,14,125,169,61,19,19
768,SpeedyCARA,247,0.82,154.1,0.79,63%,108.7,0.55,0.21,0.06,0.04,30%,21%,23,136,172,53,14,10
769,VamTU.O,313,0.82,168.5,0.80,64%,112.8,0.62,0.32,0.04,0.08,29%,14%,24,193,242,100,12,25
770,SnipKwDRGN,360,0.82,180.4,0.76,65%,114.7,0.60,0.31,0.09,0.14,23%,6%,19,217,284,113,33,51
771,Naifma7VIS,256,0.82,153.9,0.75,63%,106.7,0.55,0.22,0.07,0.07,35%,9%,23,142,190,57,18,17
772,MILKYAIC,404,0.82,157.0,0.73,68%,108.0,0.52,0.32,0.06,0.12,20%,14%,33,212,292,128,26,47
773,eleoOVA,216,0.82,146.4,0.71,67%,102.6,0.50,0.31,0.04,0.04,28%,10%,20,108,153,67,8,8
774,Lysoar,206,0.82,186.7,1.03,57%,110.8,0.67,0.23,0.06,0.05,30%,,23,137,133,47,5,4
775,Nirvana,341,0.81,201.1,0.83,60%,140.7,0.70,0.21,0.16,0.21,21%,19%,33,240,288,71,56,73
776,DerialyFL,400,0.81,146.3,0.75,67%,98.3,0.54,0.15,0.06,0.08,28%,18%,21,214,284,59,22,33
777,DaneSuic,521,0.81,180.5,0.79,67%,120.0,0.61,0.29,0.06,0.09,43%,13%,23,319,406,152,32,47
778,bryceDSG,248,0.81,142.1,0.67,67%,90.8,0.48,0.38,0.04,0.09,28%,18%,15,120,180,94,9,22
779,MiyamuraGHR,400,0.81,188.2,0.84,61%,125.6,0.68,0.16,0.07,0.11,41%,20%,26,271,324,64,29,45
780,RayzeyARC,240,0.81,148.6,0.68,70%,97.3,0.48,0.38,0.05,0.08,19%,19%,17,116,171,92,13,19
781,loubertEDGE,305,0.80,144.0,0.67,68%,91.4,0.50,0.39,0.04,0.06,28%,21%,21,153,228,120,11,19
782,nateMR,289,0.80,190.8,0.85,63%,131.2,0.69,0.13,0.18,0.18,35%,16%,31,200,236,39,48,49
783,RaquinukiFSX,201,0.80,170.0,0.77,64%,115.2,0.59,0.20,0.07,0.12,28%,25%,21,119,154,40,14,24
784,LearTHNK,243,0.80,150.1,0.69,67%,98.8,0.51,0.39,0.05,0.13,22%,7%,18,124,179,95,11,31
785,woddyXLD,302,0.80,154.7,0.77,64%,107.9,0.54,0.19,0.06,0.10,31%,16%,19,163,211,58,18,30
786,Whats WongARC,240,0.79,146.7,0.72,70%,100.3,0.53,0.37,0.04,0.08,24%,13%,17,126,176,89,9,18
787,rikuNSIC,261,0.79,178.3,0.77,62%,119.6,0.61,0.28,0.07,0.13,16%,17%,26,160,208,73,19,35
788,zero capMFC,216,0.79,140.9,0.70,69%,99.5,0.49,0.30,0.04,0.08,29%,8%,17,105,151,64,8,18
789,HaodongEDG,349,0.79,155.4,0.81,69%,110.2,0.55,0.30,0.06,0.10,27%,36%,19,192,236,105,10,16
790,KenkayyyXLD,302,0.79,182.1,0.83,58%,122.1,0.65,0.15,0.11,0.14,30%,7%,23,197,236,45,34,42
791,jas0nRyZe,275,0.79,171.0,0.77,62%,109.0,0.60,0.13,0.11,0.21,26%,12%,18,164,212,36,29,58
792,KenjiLZE,274,0.79,183.7,0.85,67%,119.9,0.67,0.25,0.11,0.14,32%,6%,25,184,217,68,29,39
793,fiziqYFP,201,0.79,156.7,0.68,69%,103.1,0.52,0.30,0.08,0.13,25%,10%,15,105,155,60,16,27
794,Sane99th,249,0.78,174.8,0.71,64%,118.9,0.57,0.33,0.08,0.12,21%,12%,22,142,199,82,20,30
795,B3ASTM0D3OVA,216,0.78,160.3,0.71,60%,108.1,0.54,0.24,0.05,0.12,26%,11%,18,117,165,52,10,25
796,DominiKASTR,205,0.78,151.4,0.71,63%,102.1,0.54,0.25,0.05,0.09,23%,7%,17,110,154,51,11,19
797,SexyChristianthe,226,0.78,149.5,0.67,63%,94.3,0.52,0.41,0.06,0.08,24%,21%,19,117,175,92,13,17
798,Golden,313,0.77,178.5,0.73,63%,120.9,0.59,0.21,0.09,0.12,20%,11%,19,186,255,66,29,38
799,no1syboyMBH,283,0.77,167.3,0.74,64%,110.6,0.58,0.20,0.10,0.11,19%,13%,19,163,220,57,27,31
800,DcRulzOGS,231,0.77,174.6,0.82,62%,116.8,0.61,0.13,0.09,0.08,28%,24%,18,140,170,29,20,19
801,blackhawkCG,211,0.77,167.7,0.72,64%,108.8,0.57,0.27,0.06,0.09,31%,10%,20,121,167,57,13,20
802,FacerollVENI,307,0.76,148.6,0.66,66%,92.6,0.50,0.31,0.08,0.10,19%,14%,17,155,234,95,26,32
803,DOXZ3RRGES,212,0.76,160.2,0.70,63%,100.6,0.58,0.28,0.05,0.09,30%,,18,122,175,59,11,19
804,nethDFM,219,0.76,157.7,0.80,68%,106.6,0.58,0.18,0.05,0.11,27%,12%,23,126,157,40,10,23
805,pleetsOLP,222,0.76,136.7,0.68,70%,89.5,0.47,0.35,0.05,0.10,15%,5%,19,105,155,77,10,22
806,danKey,204,0.76,189.0,0.75,59%,128.1,0.63,0.21,0.08,0.13,19%,6%,19,129,171,43,17,27
807,BerLINFPX,206,0.76,153.7,0.72,65%,99.0,0.51,0.35,0.13,0.13,36%,8%,14,106,148,73,11,11
808,WhimpCG,211,0.76,158.0,0.66,63%,104.6,0.54,0.31,0.03,0.08,34%,8%,15,114,174,66,7,17
809,trinxtyOGS,231,0.76,194.0,0.82,58%,128.3,0.68,0.13,0.15,0.22,30%,,27,156,190,31,35,50
810,nixoonOF,300,0.75,162.0,0.70,67%,99.7,0.54,0.36,0.07,0.10,15%,8%,20,161,229,109,22,31
811,aimhunterr3E,219,0.75,183.9,0.72,57%,127.7,0.60,0.20,0.12,0.25,21%,14%,26,131,181,44,26,54
812,IkEAEX,216,0.74,148.7,0.66,59%,102.5,0.51,0.31,0.03,0.11,26%,14%,20,111,168,67,7,23
813,AAAAYFPX,206,0.74,161.5,0.80,66%,112.1,0.59,0.23,0.01,0.02,31%,7%,18,121,151,48,1,2
814,awus,238,0.74,139.5,0.64,63%,95.6,0.49,0.32,0.05,0.12,19%,35%,18,117,183,77,13,28
815,viiCARA,247,0.73,176.6,0.80,63%,115.3,0.63,0.11,0.15,0.19,30%,14%,23,156,196,28,37,46
816,NoixGHR,400,0.70,132.3,0.63,64%,88.6,0.46,0.34,0.04,0.07,25%,8%,20,185,296,134,16,29
817,ezzyCG,211,0.69,174.7,0.74,60%,115.8,0.62,0.20,0.13,0.18,29%,9%,24,130,176,43,27,39
818,nizhaoTZHDRG,224,,189.2,1.04,,,0.67,0.35,,,,,21,151,145,78,0,0
819,Shion7DRG,224,,174.0,0.85,,,0.61,0.31,,,,,24,137,162,69,0,0
820,vo0kashuDRG,224,,234.7,1.20,,,0.87,0.19,,,,,28,194,161,43,0,0
821,TvirusLukeDRG,224,,218.7,0.91,,,0.73,0.23,,,,,25,164,180,52,0,0
822,NiccDRG,224,,186.7,1.04,,,0.67,0.39,,,,,20,151,145,88,0,0
